SKU/QR,Sistema,Nombre de la Pieza,Número de Parte,Cantidad,Frecuencia de Cambio,Datos Adicionales
CAT930-ENG-001,Motor 3304,Filtro de Aceite de Motor,1R-0716,1,Cada 250 horas,Filtro de rosca estándar
CAT930-ENG-002,Motor 3304,Filtro de Combustible,1R-0750,1,Cada 250 - 500 horas,Filtro secundario
CAT930-ENG-003,Motor 3304,Filtro de Aire Primario,6L-4714,1,Cada 500 horas / Indicador,Elemento principal
CAT930-ENG-004,Motor 3304,Pistón de Motor,8N-3102,4,Overhaul,Revisar arreglo de cámara de pre-combustión
CAT930-ENG-005,Motor 3304,Juego de Anillos de Pistón,2W-1709,4,Overhaul,Un juego por pistón
CAT930-ENG-006,Motor 3304,Camisa de Cilindro,110-6991,4,Overhaul,Incluye O-rings (sellos de camisa)
CAT930-ENG-007,Motor 3304,Biela de Motor,8N-1721,4,Al sufrir daño / Overhaul,Inspeccionar desgaste en pie/cabeza
CAT930-ENG-008,Motor 3304,Concha de Biela (Estándar),4W-5739,4,Overhaul,Cigüeñal STD
CAT930-ENG-009,Motor 3304,Concha de Biela (0.10 / 0.25mm),4W-5740,4,Overhaul,"Cigüeñal rectificado a 0.10"""
CAT930-ENG-010,Motor 3304,Concha de Biela (0.20 / 0.50mm),4W-5741,4,Overhaul,"Cigüeñal rectificado a 0.20"""
CAT930-ENG-011,Motor 3304,Concha de Biela (0.30 / 0.76mm),4W-5742,4,Overhaul,"Cigüeñal rectificado a 0.30"""
CAT930-ENG-012,Motor 3304,Concha de Bancada (Estándar),4W-5492,5,Overhaul,Cigüeñal STD
CAT930-ENG-013,Motor 3304,Concha de Bancada (0.10 / 0.25mm),4W-5493,5,Overhaul,"Cigüeñal rectificado a 0.10"""
CAT930-ENG-014,Motor 3304,Concha de Bancada (0.20 / 0.50mm),4W-5494,5,Overhaul,"Cigüeñal rectificado a 0.20"""
CAT930-ENG-015,Motor 3304,Concha de Bancada (0.30 / 0.76mm),4W-5495,5,Overhaul,"Cigüeñal rectificado a 0.30"""
CAT930-ENG-016,Motor 3304,Medialuna / Arandela de Empuje,7N-9343,2,Overhaul,Controla juego axial del cigüeñal
